RestaurantID,Name,Category,PriceTier,Neighborhood,OpeningHours,ClosingHours,AverageRating,GoodForKids
1,Wikizz,Italian,Cheap,Soho,1:28,4:56,2,false
2,Skinix,Mediterranean,Cheap,Chelsea,7:57,7:28,3,false
3,Twimbo,Mexican,Average,Harlem,22:09,22:13,2,false
4,Wordtune,Arabic,Average,Financial District,1:33,16:26,2,true
5,Topicware,Arabic,Expensive,Harlem,1:51,11:13,1,false
6,Kayveo,Czech,Expensive,Chelsea,17:53,20:10,2,true
7,Skipstorm,Thai,Average,East Village,1:03,17:46,2,false
8,Avaveo,Italian,Average,Upper East Side,21:25,10:32,5,false
9,Ntag,Italian,Cheap,Chelsea,21:39,22:19,3,true
10,Devbug,Czech,Expensive,East Village,2:23,8:41,5,false
11,Nlounge,Czech,Cheap,Harlem,18:26,16:33,4,false
12,Jamia,Chinese,Expensive,Upper East Side,8:12,6:28,4,true
13,Devpulse,Thai,Cheap,Soho,7:56,5:27,1,false
14,Izio,Indian,Average,Soho,13:03,15:35,3,false
15,Brightbean,Chinese,Average,East Village,0:16,3:14,5,false
16,Agivu,Greek,Cheap,Chelsea,23:48,23:23,2,false
17,Topiclounge,Indian,Average,Harlem,17:31,20:56,4,false
18,Browseblab,Arabic,Cheap,Harlem,8:27,21:44,5,false
19,Aibox,Italian,Average,East Village,15:45,14:53,4,true
20,Yacero,Chinese,Average,Hudson Yards,7:22,16:10,5,true
21,Topicstorm,Mediterranean,Expensive,Upper East Side,1:49,23:15,4,true
22,Dynabox,Mexican,Average,Chelsea,22:36,23:56,2,true
23,Meembee,Italian,Average,Upper East Side,7:28,11:44,2,false
24,Jabbercube,Arabic,Cheap,East Village,21:43,2:07,4,true
25,Demimbu,Indian,Cheap,Chelsea,9:36,6:03,2,true
26,Blogtags,Arabic,Cheap,Chelsea,18:10,4:14,4,false
27,Skipfire,Italian,Cheap,Soho,20:03,7:23,5,false
28,Innotype,Chinese,Average,Hudson Yards,16:23,5:12,1,false
29,Zooxo,Italian,Cheap,Chelsea,6:12,15:00,4,true
30,Pixonyx,Thai,Average,Hudson Yards,23:42,8:43,1,true
31,Oodoo,Indian,Expensive,Hudson Yards,13:40,23:19,1,true
32,Wikizz,Thai,Cheap,East Village,13:33,18:35,5,true
33,Meejo,Arabic,Expensive,Hudson Yards,19:11,8:15,3,false
34,Minyx,Thai,Cheap,Soho,2:23,9:25,5,true
35,Jabbersphere,Italian,Expensive,East Village,0:22,15:31,4,true
36,Jetwire,Italian,Cheap,Chelsea,5:46,14:04,3,true
37,Dabshots,Arabic,Expensive,Chelsea,1:54,15:11,5,false
38,Rhyloo,Indian,Average,Upper East Side,12:45,8:24,4,false
39,Teklist,Thai,Average,Soho,4:29,21:00,2,true
40,Zazio,Indian,Expensive,Hudson Yards,21:04,14:32,4,false
41,Gabspot,Mexican,Cheap,Financial District,7:44,6:11,1,false
42,Cogilith,Arabic,Cheap,East Village,20:09,1:22,2,true
43,Skiba,Italian,Cheap,Soho,15:05,21:36,1,false
44,DabZ,Arabic,Expensive,Chelsea,6:25,13:38,2,true
45,Brightdog,Italian,Cheap,Upper East Side,15:38,0:07,1,true
46,LiveZ,Thai,Average,Financial District,10:04,6:39,1,false
47,Twitterbeat,Arabic,Average,Chelsea,23:01,19:36,3,true
48,Shuffletag,Mediterranean,Expensive,Chelsea,9:32,5:21,4,false
49,Thoughtstorm,Arabic,Average,Soho,20:16,1:44,2,false
50,Dynava,Greek,Expensive,East Village,4:10,19:33,2,false
51,Yabox,Mexican,Cheap,Chelsea,23:24,20:28,3,true
52,Tekfly,Mexican,Cheap,Chelsea,15:05,0:17,5,false
53,Blognation,Mexican,Average,Chelsea,17:56,14:05,2,true
54,Topicstorm,Czech,Expensive,Harlem,12:27,7:46,1,true
55,Trupe,Thai,Cheap,Hudson Yards,10:26,21:23,4,false
56,Yakidoo,Arabic,Cheap,Chelsea,8:33,2:41,1,true
57,Jabberbean,Italian,Cheap,Upper East Side,4:21,22:52,4,true
58,Feedfire,Arabic,Average,Soho,1:20,16:47,4,true
59,Realfire,Italian,Expensive,East Village,13:32,3:43,3,false
60,Rhycero,Mediterranean,Cheap,Upper East Side,3:03,9:39,5,true
61,Twitterworks,Thai,Average,Financial District,16:40,10:14,4,false
62,Lazz,Greek,Cheap,Upper East Side,14:39,23:57,5,true
63,Tekfly,Arabic,Cheap,Soho,0:39,3:33,2,false
64,Buzzdog,Czech,Average,Harlem,23:02,3:29,1,false
65,DabZ,Mexican,Expensive,Hudson Yards,22:13,9:07,1,true
66,Fivebridge,Italian,Average,Harlem,8:30,21:13,4,true
67,Agivu,Thai,Average,East Village,21:32,19:34,1,true
68,Zoovu,Indian,Expensive,Hudson Yards,8:44,9:59,2,true
69,Zoomdog,Mexican,Expensive,Hudson Yards,20:15,7:21,5,true
70,Pixonyx,Indian,Expensive,Soho,11:12,20:13,3,false
71,Tazz,Greek,Cheap,East Village,0:00,17:28,4,false
72,Kanoodle,Mediterranean,Expensive,Hudson Yards,0:19,15:09,1,true
73,Nlounge,Czech,Average,Harlem,21:25,1:25,2,true
74,Gigaclub,Mexican,Expensive,Hudson Yards,2:40,21:26,4,false
75,Dabtype,Thai,Expensive,Hudson Yards,7:36,1:20,2,true
76,Dynabox,Thai,Cheap,Financial District,7:42,2:36,1,true
77,Kazio,Czech,Expensive,Soho,19:10,8:22,3,false
78,Roodel,Mediterranean,Expensive,Harlem,14:05,1:47,4,false
79,Wordify,Greek,Average,Harlem,17:23,11:10,1,false
80,Voonder,Mexican,Cheap,East Village,2:04,23:11,1,false
81,Eire,Mediterranean,Cheap,Hudson Yards,11:44,3:05,1,true
82,Edgetag,Thai,Expensive,Financial District,4:52,14:48,2,true
83,Yodoo,Greek,Average,East Village,17:50,20:25,4,false
84,Kayveo,Italian,Average,Soho,14:55,3:49,4,true
85,Kanoodle,Arabic,Expensive,Chelsea,23:10,5:58,4,true
86,Podcat,Arabic,Average,Financial District,11:54,7:40,3,true
87,Podcat,Czech,Average,Harlem,3:18,13:21,1,true
88,Blogpad,Italian,Cheap,Hudson Yards,14:52,6:32,5,false
89,Babbleopia,Czech,Average,Financial District,7:34,2:44,1,true
90,Kare,Greek,Cheap,Financial District,14:54,22:15,2,false
91,Gabtype,Italian,Average,Harlem,8:42,18:26,1,true
